Outdoor Drybulb Temperature [C],Outdoor Relative Humidity [%],Diffuse Solar Radiation [W/m2],Direct Solar Radiation [W/m2],6h Prediction Outdoor Drybulb Temperature [C],12h Prediction Outdoor Drybulb Temperature [C],24h Prediction Outdoor Drybulb Temperature [C],6h Prediction Outdoor Relative Humidity [%],12h Prediction Outdoor Relative Humidity [%],24h Prediction Outdoor Relative Humidity [%],6h Prediction Diffuse Solar Radiation [W/m2],12h Prediction Diffuse Solar Radiation [W/m2],24h Prediction Diffuse Solar Radiation [W/m2],6h Prediction Direct Solar Radiation [W/m2],12h Prediction Direct Solar Radiation [W/m2],24h Prediction Direct Solar Radiation [W/m2]
22.50,50.62,0.00,0.00,14.66,13.96,10.60,84.36,81.09,74.12,0.00,178.52,-0.00,-0.00,19.51,-0.00
21.64,51.62,0.00,0.00,14.12,14.96,11.47,85.56,77.57,66.95,0.00,229.90,0.00,0.00,51.79,0.00
20.80,53.88,0.00,0.00,12.98,15.01,8.08,89.35,76.22,82.99,-0.00,263.71,-0.00,0.00,152.47,-0.00
19.50,61.88,0.00,0.00,12.40,15.64,7.78,90.98,70.01,84.48,-0.00,257.33,0.00,0.00,42.69,0.00
17.77,69.75,0.00,0.00,12.52,16.12,9.38,87.97,64.95,77.88,34.52,254.58,-0.00,15.83,40.06,-0.00
16.04,77.00,0.00,0.00,13.12,15.17,8.99,84.47,65.15,81.44,118.31,189.60,-0.00,64.89,90.56,0.00
14.84,83.12,0.00,0.00,13.93,15.06,9.99,81.23,62.00,75.03,178.20,115.69,0.00,19.47,200.42,-0.00
13.94,86.88,0.00,0.00,14.66,15.21,8.61,79.28,58.98,82.51,225.23,59.75,0.00,50.74,259.79,-0.00
13.16,88.00,0.00,0.00,15.09,14.02,9.28,75.80,62.29,77.51,265.20,0.00,-0.00,153.33,0.00,0.00
12.46,90.50,0.00,0.00,15.63,13.15,9.66,70.07,63.82,72.92,257.14,0.00,-0.00,42.65,0.00,0.00
12.32,89.50,33.94,15.56,15.89,12.41,10.09,66.04,65.85,69.23,250.60,-0.00,45.52,39.44,-0.00,35.55
13.15,84.25,118.62,65.06,15.42,11.19,11.37,64.01,73.03,64.18,193.15,0.00,119.68,92.25,0.00,200.94
13.91,81.38,177.88,19.44,15.25,10.81,14.26,61.19,73.06,54.29,117.29,-0.00,169.61,203.18,-0.00,364.03
14.41,81.00,220.56,49.69,15.09,10.81,16.61,59.49,70.41,47.79,59.25,0.00,192.43,257.62,0.00,458.12
15.16,75.38,266.69,154.19,14.14,8.77,20.17,61.77,79.30,37.98,0.00,-0.00,213.93,0.00,-0.00,583.10
15.62,70.12,256.94,42.62,13.28,8.43,21.68,63.22,80.86,35.19,0.00,0.00,194.13,0.00,0.00,624.71
15.70,67.12,246.62,38.81,12.51,9.15,21.72,65.36,79.19,36.48,-0.00,0.00,167.34,-0.00,-0.00,534.44
15.64,62.88,196.69,93.94,11.52,8.94,23.20,71.39,81.72,32.34,0.00,0.00,175.78,0.00,0.00,449.22
15.41,60.38,118.88,205.94,10.91,9.39,20.95,72.53,78.52,36.74,-0.00,-0.00,75.50,-0.00,-0.00,475.87
14.99,60.00,58.75,255.44,10.48,8.71,19.27,72.15,81.95,40.63,0.00,-0.00,31.45,0.00,-0.00,278.80
14.24,61.25,0.00,0.00,9.11,9.03,19.59,77.46,78.94,38.69,-0.00,-0.00,0.00,-0.00,-0.00,0.00
13.40,62.62,0.00,0.00,8.76,9.24,16.78,79.06,75.21,51.41,0.00,0.00,0.00,0.00,0.00,0.00
12.60,64.88,0.00,0.00,9.04,9.80,16.17,79.84,70.74,56.62,-0.00,44.60,-0.00,-0.00,34.83,-0.00
11.80,69.75,0.00,0.00,8.92,11.42,15.24,81.86,63.97,57.43,-0.00,120.09,0.00,0.00,201.62,0.00
11.00,72.00,0.00,0.00,9.09,14.17,14.25,80.26,54.64,59.40,-0.00,168.52,-0.00,-0.00,361.70,-0.00
10.20,73.88,0.00,0.00,8.76,16.64,15.77,81.66,47.70,53.05,-0.00,192.78,0.00,0.00,458.93,0.00
9.40,75.62,0.00,0.00,8.91,19.52,14.67,79.66,39.93,59.10,0.00,204.81,-0.00,0.00,558.24,-0.00
9.04,77.25,0.00,0.00,9.04,21.14,14.78,76.36,36.65,59.01,0.00,187.19,0.00,-0.00,602.39,0.00
8.94,80.50,0.00,0.00,9.66,21.74,12.52,71.50,36.43,71.50,44.15,167.58,-0.00,34.48,535.19,-0.00
8.90,82.00,0.00,0.00,11.44,22.60,10.89,63.86,33.86,84.05,120.30,168.83,0.00,201.97,431.46,0.00
8.84,82.00,0.00,0.00,14.13,21.30,10.57,54.82,35.87,83.63,167.98,77.47,0.00,360.54,488.28,0.00
8.80,81.38,0.00,0.00,16.65,19.86,10.81,47.66,39.06,80.90,192.95,32.88,0.00,459.34,291.50,0.00
8.80,80.38,0.00,0.00,19.19,19.12,9.87,40.90,40.09,88.29,200.25,0.00,-0.00,545.81,0.00,0.00
8.86,77.50,0.00,0.00,20.87,17.19,9.39,37.39,50.02,89.44,183.72,0.00,-0.00,591.22,0.00,-0.00
9.53,72.25,43.69,34.12,21.75,16.53,8.83,36.41,55.25,90.42,167.69,-0.00,29.40,535.57,-0.00,2.75
11.46,63.75,120.50,202.31,22.30,15.71,11.58,34.62,55.59,76.89,165.36,0.00,119.83,422.57,0.00,17.56
14.09,55.00,167.44,359.38,21.47,14.91,13.57,35.43,56.82,65.58,78.46,-0.00,202.38,494.48,-0.00,26.04
16.66,47.62,193.12,459.75,20.15,15.30,14.37,38.28,54.96,62.09,33.59,0.00,253.40,297.84,0.00,35.84
18.91,41.88,195.69,533.38,18.88,14.43,13.61,40.80,60.11,66.97,0.00,-0.00,262.70,0.00,-0.00,92.73
20.64,38.12,180.25,580.06,17.39,14.08,15.31,49.32,62.26,60.71,0.00,0.00,281.22,0.00,0.00,132.95
21.76,36.38,167.81,535.94,16.71,12.53,16.07,54.57,71.44,57.33,-0.00,-0.00,249.15,-0.00,-0.00,207.77
22.04,35.38,161.88,413.69,15.95,11.28,16.14,54.67,81.84,57.74,0.00,0.00,157.68,0.00,0.00,395.48
21.62,35.00,79.44,500.69,15.25,10.79,17.13,55.54,82.37,53.62,-0.00,0.00,102.16,-0.00,-0.00,457.92
20.40,37.50,34.31,304.19,15.06,10.68,17.67,55.92,81.70,48.92,0.00,0.00,50.20,0.00,0.00,365.79
18.68,41.50,0.00,0.00,14.32,10.02,15.00,60.62,87.40,57.97,-0.00,0.00,0.00,-0.00,0.00,0.00
17.56,48.62,0.00,0.00,13.74,9.61,14.08,63.88,88.10,62.94,0.00,0.00,0.00,0.00,-0.00,0.00
16.86,53.88,0.00,0.00,12.54,9.41,12.46,71.41,86.96,69.02,-0.00,30.73,-0.00,-0.00,2.88,-0.00
16.16,53.75,0.00,0.00,11.47,11.30,13.56,80.73,78.51,61.89,0.00,117.51,0.00,0.00,17.22,0.00
15.53,54.25,0.00,0.00,10.90,12.94,11.24,81.75,68.85,73.74,0.00,193.97,-0.00,-0.00,24.96,-0.00
14.86,56.88,0.00,0.00,10.61,13.88,11.07,82.10,64.42,72.47,0.00,245.14,0.00,-0.00,34.67,0.00
14.22,61.12,0.00,0.00,10.09,14.07,8.64,86.95,64.93,84.30,0.00,271.85,-0.00,0.00,95.96,-0.00
13.44,65.50,0.00,0.00,9.72,15.43,8.26,87.42,60.23,88.12,0.00,283.52,0.00,-0.00,134.04,0.00
12.54,71.38,0.00,0.00,9.70,16.17,8.08,85.23,56.92,92.13,31.40,251.02,-0.00,2.94,209.33,-0.00
11.64,79.62,0.00,0.00,11.16,16.49,7.84,79.31,56.37,92.23,116.35,161.81,-0.00,17.05,405.83,0.00
10.99,81.12,0.00,0.00,12.62,17.03,7.61,70.49,54.00,87.66,189.77,101.45,0.00,24.42,454.77,0.00
10.55,82.50,0.00,0.00,13.64,17.01,7.15,65.59,51.46,87.50,241.01,48.04,0.00,34.08,350.05,0.00
10.15,86.50,0.00,0.00,14.29,15.18,6.10,63.90,57.24,92.87,276.43,0.00,-0.00,97.58,0.00,-0.00
9.81,86.75,0.00,0.00,15.48,14.22,6.69,59.99,62.34,85.48,284.66,0.00,-0.00,134.58,0.00,0.00
9.95,83.50,32.06,3.00,16.23,12.94,7.18,56.71,66.82,84.16,251.95,-0.00,41.93,210.10,-0.00,90.04
11.04,80.12,115.19,16.88,16.66,12.98,8.74,55.68,64.69,79.51,163.88,0.00,95.20,411.01,0.00,485.57
12.35,72.12,185.56,23.88,16.98,11.39,11.98,54.19,72.93,64.57,101.10,-0.00,75.22,453.20,-0.00,784.68
13.43,66.75,236.88,33.50,16.68,10.81,14.84,52.73,73.86,48.57,46.96,0.00,73.81,342.18,0.00,902.53
14.49,62.88,281.00,99.19,15.27,9.16,16.76,56.87,81.40,40.44,0.00,-0.00,78.14,0.00,-0.00,901.16
15.53,59.75,285.81,135.12,14.28,8.57,19.40,62.05,86.25,34.04,0.00,0.00,90.23,0.00,0.00,942.17
16.27,56.50,252.88,210.88,13.18,8.09,18.50,65.72,92.06,34.53,-0.00,-0.00,75.02,-0.00,-0.00,796.41
16.81,55.00,165.94,416.19,12.69,7.59,18.69,66.10,93.92,32.10,0.00,0.00,70.80,0.00,0.00,709.07
16.94,54.38,100.75,451.62,11.47,7.22,18.94,72.52,90.27,31.56,-0.00,-0.00,62.23,-0.00,-0.00,598.60
16.40,54.00,45.88,334.31,10.68,6.78,17.88,74.56,89.87,34.33,0.00,-0.00,35.04,0.00,-0.00,345.93
15.35,56.50,0.00,0.00,9.42,6.14,16.44,79.95,92.63,39.63,-0.00,0.00,0.00,-0.00,0.00,0.00
14.34,61.75,0.00,0.00,8.73,6.29,14.95,85.32,88.11,48.25,0.00,0.00,0.00,0.00,0.00,0.00
13.38,64.62,0.00,0.00,8.10,6.72,13.12,92.03,87.08,52.70,-0.00,40.66,-0.00,-0.00,87.30,-0.00
12.44,67.50,0.00,0.00,7.47,8.70,10.66,94.77,79.76,59.10,0.00,94.91,0.00,0.00,484.09,0.00
11.54,72.12,0.00,0.00,7.02,11.84,11.61,91.58,65.22,52.39,0.00,74.48,-0.00,0.00,777.03,-0.00
10.57,75.25,0.00,0.00,6.60,14.59,11.26,91.06,49.48,52.01,0.00,72.53,0.00,0.00,886.89,0.00
9.64,78.50,0.00,0.00,6.15,16.68,8.63,92.50,40.66,63.05,0.00,77.73,-0.00,0.00,896.36,-0.00
8.86,84.38,0.00,0.00,6.08,18.82,7.42,89.43,35.58,68.19,0.00,86.77,0.00,0.00,906.02,0.00
8.10,92.00,0.00,0.00,6.49,18.85,6.97,88.54,33.71,71.38,40.02,77.01,-0.00,85.93,817.52,-0.00
7.36,95.62,0.00,0.00,8.68,19.09,4.85,79.88,31.24,82.49,94.76,72.93,0.00,483.36,730.38,0.00
6.85,92.88,0.00,0.00,11.77,18.87,5.68,65.55,31.72,74.57,74.12,61.93,0.00,773.21,595.64,0.00
6.45,92.25,0.00,0.00,14.47,17.53,4.00,49.93,35.22,80.52,71.89,34.21,-0.00,879.07,337.74,-0.00
6.17,92.38,0.00,0.00,16.64,15.89,3.86,40.77,41.31,83.74,77.52,0.00,-0.00,893.96,0.00,0.00
5.91,90.75,0.00,0.00,18.53,14.49,2.83,36.35,49.94,94.82,85.04,0.00,0.00,887.95,0.00,0.00
6.30,90.00,39.38,84.56,19.03,13.06,4.24,33.29,52.91,86.61,78.01,-0.00,38.61,828.07,-0.00,92.26
8.66,80.00,94.62,482.62,19.29,11.34,6.16,30.81,56.49,78.70,74.00,0.00,88.93,741.04,0.00,512.77
11.71,65.88,73.75,769.38,18.84,11.28,8.38,31.80,53.70,71.03,61.77,-0.00,59.02,594.17,-0.00,762.95
14.36,50.38,71.25,871.25,17.36,10.59,10.74,35.67,54.76,57.16,33.79,0.00,60.93,333.65,0.00,822.77
16.61,40.88,77.31,891.56,15.62,8.81,12.91,42.16,62.27,46.39,0.00,-0.00,63.30,0.00,-0.00,861.22
18.28,37.12,83.31,869.88,14.27,7.70,16.63,50.78,66.84,35.59,0.00,0.00,70.73,0.00,0.00,1030.48
19.18,32.88,79.00,838.62,13.03,6.97,15.88,53.01,71.38,37.35,-0.00,-0.00,56.33,-0.00,-0.00,898.39
19.46,30.38,75.06,751.69,11.68,5.40,16.61,55.18,79.49,37.48,0.00,-0.00,52.47,0.00,0.00,866.10
18.81,31.88,61.62,592.69,11.11,5.43,16.15,54.35,75.97,40.37,-0.00,-0.00,46.63,-0.00,-0.00,736.23
17.21,36.12,33.38,329.56,10.26,4.32,14.53,56.13,78.76,45.58,0.00,-0.00,30.11,0.00,-0.00,436.60
15.38,43.00,0.00,0.00,8.89,4.01,13.73,61.89,82.87,46.67,-0.00,-0.00,0.00,-0.00,-0.00,0.00
14.07,51.62,0.00,0.00,7.85,3.31,11.43,66.17,91.78,57.25,0.00,-0.00,0.00,0.00,-0.00,0.00
13.01,53.12,0.00,0.00,6.97,4.13,10.74,71.38,87.24,63.10,-0.00,38.34,-0.00,-0.00,91.60,-0.00
11.97,53.88,0.00,0.00,5.68,6.23,11.19,78.00,78.29,61.38,-0.00,89.41,0.00,0.00,515.51,0.00
10.97,55.00,0.00,0.00,5.30,8.83,9.07,76.68,68.89,73.29,-0.00,61.04,-0.00,-0.00,789.07,-0.00
9.97,57.50,0.00,0.00,4.48,11.29,8.97,77.88,55.08,72.59,-0.00,63.53,0.00,-0.00,857.79,0.00
8.97,61.50,0.00,0.00,4.09,13.42,8.67,82.44,44.82,71.16,0.00,65.77,-0.00,-0.00,894.92,-0.00
7.97,65.50,0.00,0.00,3.54,16.00,9.60,90.27,37.35,59.80,-0.00,67.81,0.00,0.00,987.83,0.00
6.97,71.38,0.00,0.00,4.08,16.12,8.26,87.56,36.73,64.35,38.20,57.32,-0.00,91.27,914.20,-0.00
5.91,76.50,0.00,0.00,6.27,16.60,8.33,78.09,37.49,66.84,89.64,52.46,0.00,516.88,865.83,0.00
5.19,77.38,0.00,0.00,9.06,16.06,7.49,67.82,40.63,72.90,62.05,46.34,0.00,802.13,731.74,-0.00
4.62,77.00,0.00,0.00,11.56,14.50,8.76,54.04,45.66,69.08,64.82,30.06,0.00,875.30,435.77,0.00
4.15,82.00,0.00,0.00,13.67,13.12,7.49,44.03,48.89,77.45,67.01,0.00,-0.00,911.77,0.00,-0.00
3.75,88.75,0.00,0.00,15.68,11.49,9.81,38.24,57.00,68.58,66.34,0.00,0.00,966.51,0.00,0.00
4.04,87.88,38.06,90.94,16.24,10.92,9.59,36.43,62.30,77.03,57.81,-0.00,13.96,922.10,-0.00,0.00
6.30,77.88,89.88,518.25,16.60,10.88,8.36,37.49,62.81,89.40,52.45,0.00,46.65,865.69,0.00,-0.00
9.25,66.75,63.06,815.19,16.02,9.60,11.25,40.75,70.71,75.53,46.20,-0.00,85.81,729.50,-0.00,0.00
11.80,53.00,66.12,892.81,14.49,9.29,10.56,45.71,70.98,84.10,30.03,0.00,78.31,435.35,0.00,0.00
13.89,43.25,68.25,928.62,12.81,8.89,12.12,50.01,70.08,75.75,0.00,-0.00,72.22,0.00,-0.00,-0.00
15.41,39.12,64.88,945.19,11.52,9.21,11.27,56.88,61.59,80.56,0.00,0.00,100.49,0.00,0.00,57.12
16.34,36.12,58.31,930.00,11.01,8.54,13.90,61.90,63.12,73.43,-0.00,-0.00,275.89,-0.00,-0.00,359.40
16.60,37.50,52.44,865.56,10.72,8.54,15.55,63.53,65.86,61.64,0.00,0.00,152.18,0.00,0.00,559.92
15.98,40.88,46.06,727.25,9.86,8.15,16.28,69.41,69.76,52.52,-0.00,-0.00,100.93,-0.00,-0.00,471.35
14.48,45.75,30.00,434.94,9.45,8.78,14.60,70.18,68.98,58.51,0.00,-0.00,42.29,0.00,0.00,211.82
12.55,51.12,0.00,0.00,9.00,8.17,13.64,69.54,74.04,61.52,-0.00,0.00,0.00,-0.00,-0.00,0.00
11.55,56.75,0.00,0.00,9.01,9.29,12.98,62.49,71.35,67.16,0.00,0.00,0.00,0.00,-0.00,0.00
11.09,61.50,0.00,0.00,8.68,9.25,11.92,62.50,79.02,71.65,-0.00,13.64,-0.00,-0.00,-0.00,-0.00
10.59,64.25,0.00,0.00,8.65,8.98,12.26,65.37,85.76,70.29,-0.00,48.92,0.00,0.00,-0.00,0.00
10.09,68.12,0.00,0.00,8.48,10.78,11.39,68.19,78.26,76.80,-0.00,83.09,-0.00,-0.00,-0.00,-0.00
9.59,69.38,0.00,0.00,8.79,10.61,11.91,68.93,83.80,74.04,-0.00,78.60,0.00,0.00,-0.00,0.00
9.09,69.00,0.00,0.00,8.51,11.54,10.82,72.33,79.12,80.00,0.00,69.48,-0.00,-0.00,-0.00,-0.00
8.84,63.38,0.00,0.00,9.02,11.24,10.78,72.73,80.78,77.98,0.00,100.21,0.00,0.00,56.96,0.00
8.80,61.88,0.00,0.00,9.08,13.25,10.45,80.01,77.22,82.46,13.47,264.10,0.00,-0.00,344.05,-0.00
8.74,64.88,0.00,0.00,9.29,14.91,9.12,83.94,64.76,92.65,50.05,145.78,0.00,0.00,536.37,0.00
8.76,66.62,0.00,0.00,10.54,15.67,7.31,79.63,55.01,106.43,81.74,96.91,-0.00,0.00,452.55,-0.00
8.80,68.88,0.00,0.00,10.64,14.83,7.65,83.65,57.56,102.95,78.74,43.02,-0.00,0.00,215.47,0.00
8.80,70.62,0.00,0.00,11.26,14.04,7.35,80.81,59.89,102.67,68.12,0.00,0.00,0.00,0.00,0.00
8.80,74.12,0.00,0.00,11.22,13.40,8.37,80.89,65.27,92.92,100.08,0.00,-0.00,56.89,0.00,-0.00
8.93,81.00,13.31,0.00,12.92,12.60,8.42,79.11,68.52,92.57,258.20,-0.00,16.11,336.37,-0.00,0.00
9.56,82.12,51.19,0.00,14.59,12.48,6.67,66.32,69.20,104.89,142.58,0.00,47.39,524.59,0.00,-0.00
10.34,81.00,80.38,0.00,15.37,11.80,7.64,56.25,74.65,97.35,94.89,-0.00,70.21,443.15,-0.00,-0.00
10.66,83.50,78.88,0.00,14.95,11.79,9.52,57.09,74.65,83.61,43.39,0.00,63.24,217.29,0.00,-0.00
11.01,82.50,66.75,0.00,14.23,11.01,9.39,59.07,78.94,84.44,0.00,-0.00,90.55,0.00,-0.00,0.00
11.20,81.00,99.94,56.81,13.61,10.63,8.88,64.33,78.80,85.65,0.00,0.00,107.20,0.00,0.00,112.31
12.64,81.00,252.31,328.69,12.93,10.09,9.30,66.95,84.67,84.73,-0.00,-0.00,183.28,-0.00,-0.00,537.33
14.31,67.88,139.38,512.81,12.59,9.06,11.18,68.66,93.08,76.45,0.00,0.00,108.28,0.00,0.00,669.86
15.11,57.50,92.88,433.75,12.01,7.90,12.20,73.58,102.27,70.27,-0.00,0.00,81.94,-0.00,-0.00,715.41
15.05,56.62,43.75,219.12,11.74,7.86,11.28,74.95,101.47,73.49,0.00,0.00,31.33,0.00,0.00,465.39
14.40,58.25,0.00,0.00,11.11,7.54,11.72,78.41,101.34,69.03,-0.00,0.00,0.00,-0.00,-0.00,0.00
13.79,63.38,0.00,0.00,10.56,7.87,10.57,79.21,96.46,72.80,0.00,0.00,0.00,0.00,0.00,0.00
13.22,65.38,0.00,0.00,9.91,7.90,9.34,85.77,96.29,78.09,-0.00,15.56,-0.00,-0.00,0.00,-0.00
12.69,68.12,0.00,0.00,9.03,7.30,10.55,93.29,100.57,68.72,0.00,49.72,0.00,0.00,0.00,0.00
12.19,72.50,0.00,0.00,8.20,8.04,10.10,100.20,94.74,70.84,0.00,72.33,-0.00,-0.00,0.00,-0.00
11.69,75.25,0.00,0.00,7.96,9.04,9.76,100.74,86.68,70.68,0.00,61.21,0.00,0.00,-0.00,0.00
11.19,77.88,0.00,0.00,7.63,9.08,6.76,100.67,86.41,87.79,0.00,88.62,-0.00,0.00,-0.00,-0.00
10.50,79.62,0.00,0.00,7.62,8.89,6.10,98.23,85.57,92.80,0.00,107.29,0.00,0.00,112.40,0.00
9.76,86.88,0.00,0.00,7.64,9.81,7.56,98.14,81.87,82.69,15.28,190.45,-0.00,0.00,558.36,-0.00
9.00,93.50,0.00,0.00,7.61,11.46,6.16,98.41,74.98,88.53,50.89,110.55,0.00,-0.00,683.87,0.00
8.45,98.12,0.00,0.00,8.24,12.34,5.39,93.43,69.57,90.45,73.38,82.78,-0.00,-0.00,722.76,0.00
8.05,100.00,0.00,0.00,8.81,11.89,6.40,88.22,70.55,82.99,60.20,32.82,-0.00,-0.00,487.50,0.00
7.71,100.00,0.00,0.00,8.92,11.76,3.84,87.40,68.82,96.18,87.66,0.00,-0.00,0.00,0.00,-0.00
7.41,100.00,0.00,0.00,8.89,10.82,3.67,85.54,71.53,96.86,107.33,0.00,0.00,112.45,0.00,0.00
7.42,100.00,15.00,0.00,10.06,9.91,5.07,80.43,75.17,90.99,194.03,-0.00,36.45,568.87,-0.00,25.51
7.88,96.25,52.06,0.00,11.60,10.14,6.28,74.24,70.86,83.93,111.68,0.00,82.39,690.87,0.00,4.68
8.41,92.12,74.44,0.00,12.41,9.56,7.35,69.23,73.79,78.84,83.20,-0.00,166.54,726.44,-0.00,10.76
8.60,89.75,59.19,0.00,12.19,9.07,8.05,69.09,74.53,77.12,33.57,0.00,168.86,498.56,0.00,3.84
8.79,88.38,86.69,0.00,11.78,7.28,7.78,68.72,84.77,78.09,0.00,-0.00,130.72,0.00,-0.00,106.91
8.90,85.50,107.38,112.50,10.95,6.67,10.06,70.89,89.34,69.63,0.00,0.00,217.93,0.00,0.00,485.76
10.28,79.00,197.62,579.38,10.19,7.07,10.25,73.71,85.78,71.90,-0.00,-0.00,249.10,-0.00,-0.00,178.62
11.72,73.50,112.81,697.88,9.94,6.09,10.30,71.93,88.96,72.91,0.00,0.00,196.67,0.00,0.00,136.20
12.47,68.88,83.62,730.12,9.29,5.50,12.20,75.27,89.73,60.44,-0.00,-0.00,135.33,-0.00,-0.00,149.56
12.45,67.62,34.31,509.62,8.72,5.83,11.98,76.46,86.62,58.45,0.00,0.00,63.11,0.00,-0.00,205.66
11.80,68.62,0.00,0.00,7.54,4.45,9.28,83.26,92.34,69.87,-0.00,0.00,0.00,-0.00,-0.00,0.00
11.06,70.25,0.00,0.00,6.95,4.25,7.99,87.61,93.18,76.38,0.00,0.00,0.00,0.00,-0.00,0.00
10.43,72.25,0.00,0.00,6.83,5.27,8.12,87.33,89.74,75.82,0.00,36.97,-0.00,-0.00,25.88,-0.00
9.76,73.00,0.00,0.00,6.06,6.18,8.84,89.17,84.52,71.05,0.00,81.82,0.00,0.00,4.65,0.00
9.06,76.75,0.00,0.00,5.56,7.17,8.00,89.36,79.86,70.03,0.00,164.49,-0.00,-0.00,10.63,-0.00
8.43,78.38,0.00,0.00,5.55,7.99,6.50,88.43,77.43,75.56,0.00,168.18,0.00,-0.00,3.83,0.00
7.76,81.75,0.00,0.00,4.75,8.00,6.54,90.42,76.92,76.72,-0.00,132.80,-0.00,-0.00,108.61,-0.00
7.19,85.88,0.00,0.00,4.53,9.84,6.39,91.34,70.75,82.18,0.00,214.62,0.00,0.00,478.38,0.00
6.62,88.88,0.00,0.00,5.37,10.64,7.12,89.12,70.01,83.23,37.24,256.42,-0.00,26.07,183.87,-0.00
6.03,89.38,0.00,0.00,6.13,10.92,5.82,84.82,69.95,91.88,81.53,206.18,0.00,4.64,142.79,0.00
5.61,89.00,0.00,0.00,7.09,11.76,6.61,80.37,62.47,86.10,163.46,131.32,-0.00,10.57,145.12,-0.00
5.31,90.25,0.00,0.00,7.96,11.35,6.68,77.59,61.35,82.87,167.84,60.49,-0.00,3.82,197.14,0.00
5.01,88.50,0.00,0.00,8.11,9.59,5.85,76.33,68.37,89.41,133.84,0.00,0.00,109.46,0.00,-0.00
4.78,89.50,0.00,0.00,9.73,8.65,6.41,71.32,73.13,84.92,212.97,0.00,0.00,474.69,0.00,0.00
5.45,88.50,37.50,26.25,10.83,8.53,6.36,69.07,73.72,86.58,260.09,-0.00,8.34,186.49,-0.00,0.00
6.09,85.12,81.25,4.62,11.23,8.69,7.88,68.48,71.83,77.69,210.93,0.00,26.40,146.09,0.00,0.00
7.01,80.88,162.44,10.50,11.54,8.08,7.04,63.48,69.64,83.48,129.32,-0.00,44.59,142.91,-0.00,-0.00
7.94,77.75,167.50,3.81,11.03,7.18,8.95,62.80,72.22,74.76,59.19,0.00,71.96,192.88,0.00,-0.00
